REPORT_DATE,FATALITIES,COUNTY,change_2006_2016,indicator_2002_2006,indicator_1999_2001,indicator_1993_1998,has_accident_before_2006,name,Longitude,Latitude,Region,Family,Color,Nearest Neighbor,Region_color,simple_family
1970-01-01 00:00:00.020240405,1,31105,-1.0,0,0,0,0,Kimball,-103.7149939,41.19760039,W,Growth Control,green,Denver,#d62728,Reform
1970-01-01 00:00:00.020240518,1,32015,0.0,0,0,0,0,Lander,-117.0390723,39.93361994,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020220418,1,34033,2.0,0,0,0,0,Salem,-75.34910669,39.58787069,NE,Middle America,orange,Philadelphia (PA),#9edae5,Traditional
1970-01-01 00:00:00.020240326,1,6033,0.0,0,0,0,0,Lake,-122.7532352,39.0996887,W,Growth Management,green,Sacramento,#d62728,Reform
1970-01-01 00:00:00.020240518,1,1073,-3.0,0,0,0,0,Jefferson,-86.89657084,33.5543433,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020240308,1,6071,-5.0,0,0,0,0,San Bernardino,-116.1783784,34.84157876,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020240425,2,6073,-1.0,0,0,0,1,San Diego,-116.7353982,33.03386576,W,Growth Management,green,San Diego,#d62728,Reform
1970-01-01 00:00:00.020231217,1,6031,0.0,0,0,0,0,Kings,-119.8151995,36.07520008,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020240421,1,31019,0.0,0,0,0,0,Buffalo,-99.07510068,40.85504881,MW,Middle America,orange,Kansas City (KS),#f7b6d2,Traditional
1970-01-01 00:00:00.020240331,1,40143,0.0,0,0,0,0,Tulsa,-95.94143178,36.12121947,S,Middle America,orange,Oklahoma City,#1f77b4,Traditional
1970-01-01 00:00:00.020230716,1,6037,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020240429,1,21029,0.0,0,0,0,0,Bullitt,-85.69808753,37.97000785,MW,Middle America,orange,Louisville (IN),#f7b6d2,Traditional
1970-01-01 00:00:00.020240426,1,1015,-1.0,0,0,0,0,Calhoun,-85.82574705,33.77141549,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020240403,2,22097,-1.0,0,0,0,1,St. Landry,-92.00579532,30.59908084,S,Containment-Lite,green,New Orleans,#1f77b4,Reform
1970-01-01 00:00:00.020230601,1,6037,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020240405,2,6071,-5.0,0,0,0,1,San Bernardino,-116.1783784,34.84157876,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020240413,3,45079,-2.0,0,0,0,1,Richland,-80.90384361,34.02226754,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
1970-01-01 00:00:00.020240414,1,37071,0.0,0,0,0,0,Gaston,-81.18014844,35.29432138,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
1970-01-01 00:00:00.020240328,1,37091,1.0,0,0,0,0,Hertford,-76.98162611,36.35892018,S,Middle America,orange,Norfolk (VA),#1f77b4,Traditional
1970-01-01 00:00:00.020240316,1,17043,4.0,0,0,0,0,DuPage,-88.08563421,41.85173736,MW,Middle America,orange,Chicago (IL),#f7b6d2,Traditional
1970-01-01 00:00:00.020240404,1,45007,-3.0,0,0,0,0,Anderson,-82.63793115,34.5189668,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020240411,1,47093,-1.0,0,0,0,0,Knox,-83.93759106,35.99332876,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020240328,1,17037,0.0,0,0,0,0,DeKalb,-88.76979995,41.8933691,MW,Middle America,orange,Chicago (IL),#f7b6d2,Traditional
1970-01-01 00:00:00.020231231,1,6013,-1.0,0,0,0,0,Contra Costa,-121.9281273,37.91933375,W,Growth Control,green,San Francisco,#d62728,Reform
1970-01-01 00:00:00.020240328,1,37091,1.0,0,0,0,0,Hertford,-76.98162611,36.35892018,S,Middle America,orange,Norfolk (VA),#1f77b4,Traditional
1970-01-01 00:00:00.020240119,1,41047,0.0,0,0,0,0,Marion,-122.5849114,44.90322354,W,Containment,green,Portland (WA),#d62728,Reform
1970-01-01 00:00:00.020240103,1,6029,1.0,0,0,0,0,Kern,-118.72959,35.34292819,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020240228,1,37057,-1.0,0,0,0,0,Davidson,-80.21253309,35.79311799,S,Middle America,orange,Greensboro,#1f77b4,Traditional
1970-01-01 00:00:00.020240228,1,5019,-1.0,0,0,0,0,Clark,-93.17667235,34.05108285,S,Containment,green,Memphis (AR),#1f77b4,Reform
1970-01-01 00:00:00.020231111,1,6077,1.0,0,0,0,0,San Joaquin,-121.2712102,37.9345275,W,Growth Management,green,Sacramento,#d62728,Reform
1970-01-01 00:00:00.020240222,1,21111,0.0,0,0,0,0,Jefferson,-85.65772828,38.18834895,MW,Middle America,orange,Louisville (IN),#f7b6d2,Traditional
1970-01-01 00:00:00.020240221,2,13051,-3.0,0,0,0,1,Chatham,-81.13247732,32.00445256,S,Growth Management,green,Jacksonville,#1f77b4,Reform
1970-01-01 00:00:00.020231229,1,53053,2.0,0,0,0,0,Pierce,-122.1122121,47.02680625,W,Containment,green,Seattle,#d62728,Reform
1970-01-01 00:00:00.020231018,1,26025,0.0,0,0,0,0,Calhoun,-85.00508394,42.24636617,MW,Middle America,orange,Grand Rapids,#f7b6d2,Traditional
1970-01-01 00:00:00.020231029,1,8059,0.0,0,0,0,0,Jefferson,-105.2504738,39.58646067,W,Growth Control,green,Denver,#d62728,Reform
1970-01-01 00:00:00.020221025,1,32003,-3.0,0,0,0,0,Clark,-115.0146087,36.21511541,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020240118,1,18087,1.0,0,0,0,0,LaGrange,-85.42669106,41.64234778,MW,Middle America,orange,Grand Rapids,#f7b6d2,Traditional
1970-01-01 00:00:00.020230801,1,4015,1.0,0,0,0,0,Mohave,-113.7581706,35.70456821,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020240109,1,39113,2.0,0,0,0,0,Montgomery,-84.29037841,39.75442102,S,Middle America,orange,Cincinnati (KY),#1f77b4,Traditional
1970-01-01 00:00:00.020240126,1,1015,-1.0,0,0,0,0,Calhoun,-85.82574705,33.77141549,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020240121,1,37097,-4.0,0,0,0,0,Iredell,-80.87332588,35.8068797,S,Middle America,orange,Charlotte (NC),#1f77b4,Traditional
1970-01-01 00:00:00.020231230,1,4015,1.0,0,0,0,0,Mohave,-113.7581706,35.70456821,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020240116,1,47189,0.0,0,0,0,0,Wilson,-86.29778739,36.15428192,S,Containment,green,Nashville,#1f77b4,Reform
1970-01-01 00:00:00.020231105,1,6037,-6.0,0,0,0,0,Los Angeles,-118.224703,34.32134579,W,Growth Management,green,Los Angeles,#d62728,Reform
1970-01-01 00:00:00.020231022,1,6047,0.0,0,0,0,0,Merced,-120.7175058,37.19189197,W,Growth Management,green,Sacramento,#d62728,Reform
1970-01-01 00:00:00.020231215,1,51121,-1.0,0,0,0,0,Montgomery,-80.38642559,37.17483569,S,Middle America,orange,Greensboro,#1f77b4,Traditional
1970-01-01 00:00:00.020240102,1,13135,1.0,0,0,0,0,Gwinnett,-84.02400746,33.9614268,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020231227,1,1085,1.0,0,0,0,0,Lowndes,-86.65002353,32.1550404,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020231214,1,45053,0.0,0,0,0,0,Jasper,-81.03177638,32.43633197,S,Growth Management,green,Jacksonville,#1f77b4,Reform
1970-01-01 00:00:00.020230401,1,6071,-5.0,0,0,0,0,San Bernardino,-116.1783784,34.84157876,W,Containment,green,Las Vegas (AZ),#d62728,Reform
1970-01-01 00:00:00.020231116,1,22097,-1.0,0,0,0,0,St. Landry,-92.00579532,30.59908084,S,Containment-Lite,green,New Orleans,#1f77b4,Reform
1970-01-01 00:00:00.020230806,2,45007,-3.0,0,0,0,1,Anderson,-82.63793115,34.5189668,S,Middle America,orange,Atlanta,#1f77b4,Traditional
1970-01-01 00:00:00.020231029,1,29161,1.0,0,0,0,0,Phelps,-91.79238502,37.87731447,MW,Middle America,orange,St. Louis (MO),#f7b6d2,Traditional
1970-01-01 00:00:00.020231028,1,37069,1.0,0,0,0,0,Franklin,-78.2853416,36.08251637,S,Middle America,orange,Raleigh,#1f77b4,Traditional
1970-01-01 00:00:00.020230501,1,34023,0.0,0,0,0,0,Middlesex,-74.41108832,40.43949114,NE,High Density,orange,New York (NY),#9edae5,Traditional
1970-01-01 00:00:00.020231027,1,22019,-3.0,0,0,0,0,Calcasieu,-93.35798129,30.22942198,S,Houston,red,Houston,#1f77b4,Wild Texas
1970-01-01 00:00:00.020231114,2,32003,-3.0,0,0,0,1,Clark,-115.0146087,36.21511541,W,Containment,green,Las Vegas (AZ),#d62728,Reform
