,year,county,cnt
1052,2006,29107,5
1053,2006,29109,1
1054,2006,29113,1
1055,2006,29117,1
1056,2006,29119,2
1057,2006,29121,2
1058,2006,29127,6
1059,2006,29131,1
1060,2006,29133,2
1061,2006,29139,2
1062,2006,29143,6
1063,2006,29145,7
1064,2006,29147,2
1065,2006,29149,2
1066,2006,29155,4
1067,2006,29157,3
1068,2006,29159,1
1069,2006,29163,4
1070,2006,29165,1
1071,2006,29169,3
1072,2006,29175,1
1073,2006,29177,1
1074,2006,29183,5
1075,2006,29185,2
1076,2006,29186,2
1077,2006,29187,1
1078,2006,29189,6
1079,2006,29195,4
1080,2006,29197,1
1081,2006,29201,2
1082,2006,29213,2
1083,2006,29215,2
1084,2006,29217,2
1085,2006,29219,1
1086,2006,29229,1
1087,2006,29510,6
1088,2006,30001,1
1089,2006,30003,3
1090,2006,30005,1
1091,2006,30013,1
1092,2006,30017,2
1093,2006,30021,1
1094,2006,30027,2
1095,2006,30029,5
1096,2006,30031,4
1097,2006,30035,1
1098,2006,30041,2
1099,2006,30043,2
1100,2006,30045,1
1101,2006,30049,2
1102,2006,30053,2
1103,2006,30055,1
1104,2006,30061,3
1105,2006,30063,6
1106,2006,30067,2
1107,2006,30071,1
1108,2006,30073,1
1109,2006,30075,1
1110,2006,30077,2
1111,2006,30081,1
1112,2006,30085,1
1113,2006,30087,1
1114,2006,30091,1
1115,2006,30093,2
1116,2006,30095,2
1117,2006,30097,1
1118,2006,30101,1
1119,2006,30111,4
1120,2006,31001,2
1121,2006,31013,1
1122,2006,31017,1
1123,2006,31019,3
1124,2006,31021,1
1125,2006,31023,1
1126,2006,31025,2
1127,2006,31029,2
1128,2006,31031,3
1129,2006,31033,1
1130,2006,31039,1
1131,2006,31041,2
1132,2006,31043,1
1133,2006,31045,1
1134,2006,31047,4
1135,2006,31049,2
1136,2006,31053,2
1137,2006,31055,1
1138,2006,31067,2
1139,2006,31071,1
1140,2006,31079,8
1141,2006,31081,2
1142,2006,31083,1
1143,2006,31087,1
1144,2006,31089,3
1145,2006,31093,2
1146,2006,31095,1
1147,2006,31101,3
1148,2006,31105,1
1149,2006,31109,4
