,COUNTY,change_2007,change_2008,change_2015,change_2016,change_2006_2016
288,13011,0.0,0.0,0.0,0.0,0.0
289,13013,0.0,0.0,0.0,0.0,0.0
290,13015,0.0,0.0,0.0,0.0,0.0
291,13017,0.0,-1.0,0.0,0.0,0.0
292,13021,0.0,0.0,0.0,0.0,0.0
293,13023,0.0,0.0,0.0,0.0,0.0
294,13029,1.0,0.0,0.0,0.0,1.0
295,13031,0.0,0.0,-1.0,0.0,-1.0
296,13035,0.0,0.0,0.0,0.0,1.0
297,13039,0.0,0.0,0.0,0.0,-1.0
298,13043,0.0,0.0,0.0,0.0,1.0
299,13045,0.0,-1.0,0.0,0.0,1.0
300,13047,1.0,0.0,0.0,0.0,1.0
301,13049,0.0,0.0,0.0,0.0,0.0
302,13051,0.0,0.0,0.0,0.0,-3.0
303,13053,0.0,0.0,0.0,0.0,1.0
304,13055,1.0,0.0,0.0,0.0,1.0
305,13059,0.0,0.0,0.0,0.0,0.0
306,13063,0.0,-1.0,0.0,0.0,-1.0
307,13065,0.0,0.0,0.0,0.0,0.0
308,13067,-1.0,0.0,0.0,-1.0,-3.0
309,13069,-1.0,0.0,0.0,0.0,0.0
310,13071,0.0,0.0,-1.0,0.0,-2.0
311,13073,0.0,0.0,0.0,0.0,0.0
312,13075,0.0,0.0,0.0,0.0,0.0
313,13077,0.0,-1.0,0.0,0.0,-1.0
314,13081,0.0,0.0,0.0,0.0,-1.0
315,13083,0.0,0.0,0.0,0.0,0.0
316,13087,0.0,0.0,0.0,0.0,0.0
317,13089,0.0,-1.0,0.0,0.0,-2.0
318,13091,0.0,0.0,0.0,0.0,0.0
319,13093,0.0,0.0,0.0,0.0,-2.0
320,13095,-1.0,-1.0,-1.0,0.0,-4.0
321,13097,-1.0,0.0,0.0,0.0,-1.0
322,13101,0.0,0.0,0.0,0.0,0.0
323,13103,0.0,0.0,0.0,0.0,0.0
324,13105,0.0,0.0,-1.0,0.0,0.0
325,13107,0.0,0.0,0.0,0.0,-1.0
326,13111,0.0,0.0,0.0,0.0,1.0
327,13113,0.0,0.0,0.0,0.0,1.0
328,13115,0.0,-1.0,-1.0,0.0,1.0
329,13117,0.0,0.0,0.0,0.0,0.0
330,13119,0.0,0.0,0.0,0.0,1.0
331,13121,0.0,0.0,-1.0,0.0,-1.0
332,13127,-1.0,0.0,1.0,0.0,0.0
333,13129,0.0,0.0,0.0,0.0,0.0
334,13131,0.0,0.0,1.0,-1.0,0.0
335,13133,0.0,1.0,0.0,0.0,1.0
336,13135,0.0,0.0,1.0,0.0,1.0
337,13137,0.0,0.0,0.0,0.0,0.0
338,13139,-2.0,0.0,0.0,0.0,-2.0
339,13143,0.0,0.0,0.0,0.0,-1.0
340,13145,0.0,0.0,0.0,0.0,0.0
341,13151,-1.0,0.0,0.0,0.0,-2.0
342,13153,0.0,0.0,-1.0,0.0,-1.0
343,13155,0.0,0.0,0.0,0.0,0.0
344,13157,1.0,0.0,0.0,0.0,0.0
345,13161,0.0,0.0,0.0,0.0,0.0
346,13163,0.0,0.0,0.0,0.0,1.0
347,13165,0.0,0.0,0.0,0.0,0.0
348,13169,-1.0,0.0,0.0,0.0,-1.0
349,13171,0.0,-1.0,0.0,0.0,-1.0
350,13175,0.0,-1.0,-1.0,2.0,0.0
351,13179,0.0,0.0,0.0,0.0,0.0
352,13181,0.0,0.0,0.0,0.0,0.0
353,13185,0.0,0.0,0.0,0.0,0.0
354,13189,1.0,0.0,0.0,0.0,1.0
355,13191,0.0,0.0,0.0,0.0,0.0
356,13197,0.0,0.0,0.0,0.0,1.0
357,13205,0.0,0.0,0.0,0.0,0.0
358,13207,0.0,0.0,0.0,0.0,0.0
359,13209,0.0,0.0,0.0,0.0,0.0
360,13211,-1.0,1.0,0.0,0.0,-1.0
361,13213,1.0,0.0,0.0,0.0,1.0
362,13215,0.0,0.0,0.0,0.0,0.0
363,13217,0.0,0.0,0.0,0.0,0.0
364,13219,0.0,0.0,0.0,0.0,1.0
365,13223,0.0,0.0,0.0,0.0,-1.0
366,13225,0.0,0.0,-1.0,0.0,-2.0
367,13227,0.0,0.0,0.0,0.0,-1.0
368,13233,-1.0,0.0,-1.0,0.0,0.0
369,13237,0.0,0.0,0.0,0.0,0.0
370,13239,-1.0,0.0,0.0,0.0,-1.0
371,13241,0.0,0.0,0.0,0.0,1.0
372,13243,0.0,0.0,1.0,0.0,1.0
373,13245,-1.0,-2.0,0.0,0.0,-5.0
374,13251,0.0,0.0,0.0,0.0,0.0
375,13253,0.0,0.0,0.0,0.0,0.0
376,13259,0.0,0.0,0.0,0.0,0.0
377,13261,0.0,0.0,0.0,0.0,1.0
378,13265,0.0,0.0,0.0,0.0,-1.0
379,13271,0.0,0.0,0.0,0.0,0.0
380,13273,0.0,0.0,0.0,0.0,0.0
381,13275,0.0,0.0,0.0,-1.0,0.0
382,13277,0.0,0.0,0.0,0.0,0.0
383,13279,0.0,0.0,0.0,-1.0,-3.0
384,13285,0.0,-1.0,0.0,0.0,-1.0
385,13287,0.0,0.0,0.0,0.0,-2.0
386,13289,0.0,0.0,0.0,0.0,0.0
387,13293,0.0,0.0,0.0,0.0,1.0
388,13297,0.0,0.0,0.0,0.0,1.0
389,13299,-1.0,0.0,0.0,0.0,1.0
